array-read,shm-read,array-write,shm-write
1.015984898,1.019984442,1.180016371,1.024014206
1.019984958,1.023984506,1.051986849,1.047986792
1.015984899,1.015984379,1.051986848,1.047986794
1.015984898,1.023984508,1.047986793,1.047986792
1.007984776,1.015984380,1.051986849,1.043986738
0.984015099,1.019984444,1.051986848,1.047986792
1.015984898,1.019984445,1.051986848,1.047986794
1.015984900,1.015984383,1.047986793,0.952013208
1.015984901,1.023984507,1.051986848,1.043986738
1.015984899,1.019984447,0.944013096,1.051986848
1.015984901,1.019984445,1.047986793,1.047986792
1.011984839,1.019984448,1.051986849,1.043986738
1.015984903,1.015984383,1.043986736,1.043986737
1.011984839,0.980015553,1.043986738,1.035986626
1.011984841,1.019984448,1.043986736,1.039986682
1.015984901,1.023984512,1.043986738,1.039986682
1.011984840,1.019984448,1.047986793,1.039986682
1.015984902,1.019984449,1.043986736,1.043986737
1.011984841,1.019984450,1.043986738,1.039986682
1.015984904,1.023984514,1.047986793,1.039986681
1.015984904,1.019984449,1.043986736,1.043986738
1.015984903,1.019984451,1.043986738,1.039986681
1.015984905,1.019984451,1.051986847,1.043986737
1.015984903,1.019984452,1.043986738,1.043986737
1.015984905,1.019984451,1.043986737,1.039986681
1.011984844,1.023984515,1.043986737,1.039986682
1.015984905,1.019984453,1.039986682,1.035986626
1.015984905,1.019984453,1.047986792,1.039986681
1.015984905,1.019984454,1.043986737,1.043986737
1.019984968,1.019984453,1.043986737,1.039986682
1.015984905,1.023984518,1.047986792,0.956013263
1.015984907,1.023984517,0.956013263,1.035986626
1.015984906,1.019984455,1.043986737,1.043986737
1.015984908,1.023984519,1.047986792,1.039986681
1.015984906,1.023984519,1.047986793,1.047986793
1.015984908,1.023984520,1.047986792,1.039986681
1.019984969,1.019984456,1.043986737,1.039986680
1.011984847,1.023984521,1.043986737,1.043986737
1.011984848,1.023984520,1.047986792,1.039986682
1.015984908,1.023984521,1.047986792,1.047986792
1.019984970,1.019984457,1.043986737,1.039986682
1.015984909,1.015984396,1.047986792,1.039986681
1.015984910,1.019984458,1.047986793,1.043986737
1.015984909,1.019984459,1.047986791,1.043986737
1.015984910,1.023984523,1.047986793,1.047986791
1.023985033,1.019984460,1.047986792,1.043986737
1.015984911,1.015984398,1.043986737,1.039986681
1.015984911,1.019984460,1.043986736,1.039986681
1.011984849,1.015984398,1.047986793,1.043986737
1.011984850,1.023984525,1.043986736,1.039986681
1.015984912,1.023984526,1.047986792,1.039986681
1.015984911,1.019984462,1.047986793,1.047986793
1.015984914,1.019984462,0.952013209,1.039986681
1.015984911,1.019984463,1.047986793,1.043986736
1.015984914,1.019984463,1.027986513,0.956013264
1.011984850,1.019984463,2.919985017,1.039986682
1.011984853,1.019984465,1.080014983,1.043986735
1.015984914,1.019984465,1.076014930,1.039986681
1.011984851,1.019984464,1.080014984,1.043986737
1.019984977,1.019984466,1.008013984,1.039986681
1.015984914,1.023984529,1.051986847,1.043986736
1.015984914,0.984015598,1.043986737,1.039986681
1.015984914,1.019984467,1.043986736,1.043986737
1.011984855,1.015984403,1.047986791,1.039986680
1.011984853,1.019984467,1.043986737,1.039986682
1.011984855,1.019984468,0.952013208,1.043986736
1.011984855,1.015984405,1.047986791,1.043986736
1.015984916,1.019984468,1.043986737,1.043986736
1.015984916,1.023984532,1.043986736,1.039986681
1.019984979,1.019984470,1.051986847,1.043986736
0.984015083,1.019984469,1.047986792,1.043986737
1.015984916,1.019984470,1.043986736,1.039986680
1.015984918,1.023984533,1.047986792,1.043986737
1.015984918,1.015984408,1.047986792,1.047986792
1.011984857,1.023984534,1.047986792,1.043986736
1.015984919,1.023984535,1.047986791,1.039986680
1.011984857,1.019984472,1.047986792,1.043986737
1.011984858,1.019984471,1.043986736,0.956013264
1.011984858,1.019984473,1.047986792,1.039986680
1.015984919,1.019984473,1.043986735,1.043986737
1.015984919,1.023984537,1.043986736,1.039986680
1.011984859,1.015984410,1.047986792,1.039986680
1.019984982,1.019984474,1.043986736,1.039986681
1.019984981,1.023984538,1.004013930,1.039986680
1.015984922,1.015984411,1.076014929,1.043986736
1.015984921,1.019984476,1.080014984,1.043986736
1.015984921,1.011984349,1.076014929,1.039986680
1.019984983,1.019984475,1.080014985,1.043986736
1.015984921,1.019984477,1.076014929,1.039986681
1.015984923,1.023984540,1.076014929,1.043986736
1.015984922,1.023984540,1.076014930,1.039986681
1.015984923,1.023984541,1.080014984,1.047986790
1.019984984,1.027984605,1.076014929,1.039986681
1.015984923,1.019984478,1.076014929,1.039986681
1.015984924,1.019984478,2.919985015,1.043986736
1.015984924,1.019984479,1.080014985,1.039986680
1.019984985,1.019984479,1.072014873,1.039986680
1.019984986,1.019984480,1.080014985,1.039986680
1.015984924,1.015984417,1.076014929,1.043986736
1.015984924,1.015984417,1.072014874,1.043986735
1.019984986,1.015984418,1.076014929,1.043986736
1.015984926,1.015984417,1.080014985,0.956013264
1.019984986,1.019984482,1.080014985,1.043986736
1.019984987,1.019984482,1.076014929,1.043986735
1.015984927,1.019984483,1.076014929,1.039986680
1.015984926,1.023984546,1.076014930,1.039986681
1.019984988,1.019984482,1.080014985,1.039986680
1.019984988,1.015984421,2.923985071,1.096015207
1.015984928,1.023984547,1.076014930,1.100015262
1.019984987,1.019984484,1.076014930,2.895984681
1.019984989,1.019984485,1.080014984,1.096015207
1.019984990,0.976015452,1.080014985,1.100015262
1.015984928,1.019984485,1.076014931,1.100015263
1.015984928,1.019984486,1.080014984,1.104015319
1.019984991,1.023984550,1.080014985,1.100015262
1.015984929,1.023984550,1.080014987,1.100015262
1.019984991,1.019984487,1.080014984,1.100015262
1.019984990,1.023984550,1.076014930,1.100015263
1.019984991,1.019984488,1.080014984,1.104015318
1.019984991,1.015984424,1.076014931,2.903984793
1.019984992,1.015984425,2.923985071,1.100015264
1.019984991,1.015984425,1.076014930,1.100015262
1.011984870,1.019984490,1.076014930,1.100015262
1.011984870,1.019984489,1.076014929,1.096015209
1.015984932,1.019984490,1.076014930,1.100015261
1.011984870,1.019984490,1.080014986,1.100015263
1.011984871,1.019984491,1.076014930,1.100015264
1.011984871,1.015984427,1.080014984,1.104015318
1.011984871,1.019984492,1.019986401,1.100015262
1.019984993,1.019984492,1.047986791,2.899984736
0.980015006,1.023984555,1.043986735,1.100015262
1.015984934,1.019984492,1.047986791,1.096015208
1.011984872,1.019984493,1.043986735,1.104015317
1.015984934,1.023984556,1.043986735,1.100015263
1.015984934,1.019984494,1.047986791,1.100015263
1.019984995,1.019984494,1.043986733,1.104015318
1.015984935,1.019984494,1.043986735,1.100015264
1.015984935,1.019984495,1.043986736,1.108015374
1.019984996,1.019984495,1.043986735,1.100015263
1.011984874,1.019984495,1.047986791,2.895984682
1.015984936,1.023984559,1.043986735,1.096015208
1.011984874,1.023984560,0.952013210,1.100015263
1.015984937,1.019984496,1.047986791,1.100015264
1.015984935,1.019984497,1.039986679,1.104015318
1.015984937,1.019984497,1.047986789,1.100015263
1.011984876,1.015984435,1.047986792,1.100015264
1.019984998,1.019984497,1.047986789,1.100015263
1.015984938,1.019984499,1.047986792,1.100015263
1.019984998,1.019984499,1.047986790,1.096015208
1.011984877,1.019984499,1.043986735,1.100015264
1.015984938,1.019984499,1.043986733,1.088015095
1.015984939,1.019984500,1.047986792,1.092015153
1.015984938,1.019984500,1.051986845,1.096015208
1.015984939,1.015984438,1.047986789,1.012014042
1.011984879,1.015984437,1.043986736,1.043986734
1.011984877,1.023984565,1.043986734,1.039986680
1.007984818,1.019984501,1.047986791,1.036014376
1.015984940,1.019984502,1.043986734,1.096015207
1.015984940,1.019984503,1.047986791,1.096015210
1.011984879,1.019984502,1.047986790,1.092015151
1.011984879,1.015984441,1.047986790,1.100015265
1.015984941,0.984015561,1.047986790,1.096015207
1.015984942,1.019984504,0.952013211,1.096015209
1.011984880,1.015984441,1.023986458,2.899984737
1.019985003,1.015984441,2.919985013,1.104015319
1.011984881,1.023984569,1.080014985,1.096015209
1.015984943,1.023984567,1.080014987,1.100015263
1.011984881,1.019984506,1.080014985,1.096015209
1.015984942,1.019984507,1.080014986,1.104015318
1.015984944,1.019984507,1.076014931,1.100015264
1.011984882,1.023984570,1.084015043,1.096015208
1.011984882,1.015984442,1.076014929,1.096015209
1.015984944,1.015984446,1.076014931,1.100015263
1.015984944,1.023984571,1.076014931,2.899984736
1.011984883,1.015984444,1.035986623,1.096015209
1.015984945,1.019984510,1.076014931,1.100015263
1.015984945,1.019984507,1.047986790,1.096015209
1.011984589,1.019984509,1.043986734,1.096015208
1.019984396,1.019984511,1.047986790,1.096015209
1.011984268,1.019984510,1.068014819,1.096015208
1.015984332,1.019984511,1.076014931,1.096015209
1.015984334,1.019984509,1.080014987,1.104015320
1.011984270,1.023984576,1.076014930,1.100015263
1.015984334,1.019984511,2.947985401,2.895984680
1.015984334,1.015984449,0.956013266,1.096015208
1.011984271,1.015984447,1.043986735,1.100015265
1.011984272,1.023984577,1.039986678,1.100015264
1.015984335,1.019984514,1.047986790,1.100015264
1.011984272,1.019984512,1.043986734,1.096015209
1.015984337,1.023984576,1.047986789,1.100015264
1.011984273,1.019984515,1.043986735,1.100015264
1.015984338,1.019984515,1.072014877,1.100015264
1.011984273,1.019984515,1.084015041,1.096015209
1.011984275,1.011984388,1.080014988,1.031986567
1.011984275,1.019984515,2.919985014,1.043986734
1.015984339,1.023984580,1.076014931,1.096015209
1.011984276,1.019984516,1.080014986,2.895984680
1.011984275,1.019984517,1.080014988,1.092015153
0.984015659,1.023984578,1.084015042,1.068014820
1.015984341,1.023984582,1.084015042,1.047986789
1.011984277,1.019984516,1.003986179,1.043986733
1.015984341,1.019984520,1.051986844,1.039986679
1.015984342,1.019984517,1.047986790,1.039986678
1.015984343,1.015984456,1.047986789,0.960013321
1.015984343,1.015984457,1.047986789,1.043986733
1.019984407,1.019984517,1.043986735,1.043986733
1.015984344,1.019984521,1.043986733,1.039986679
1.023984471,1.019984521,1.043986734,1.043986733
1.015984345,1.015984457,1.051986845,1.039986679
1.019984408,1.019984521,0.956013267,1.039986679
1.019984409,1.015984457,1.047986789,1.043986733
1.011984282,1.019984521,1.043986735,1.043986733
1.015984346,0.976015414,1.043986733,1.043986734
1.015984346,1.015984460,1.047986789,1.039986678
1.015984347,1.019984521,1.043986733,1.043986733
1.015984349,1.019984523,1.051986845,1.039986679
1.011984283,1.015984461,1.043986734,1.039986678
1.015984348,1.019984523,1.047986789,1.039986678
1.019984412,1.023984588,1.043986734,1.047986789
1.015984350,1.023984588,1.043986733,1.039986678
1.015984348,1.023984586,1.043986733,1.043986733
1.015984351,1.019984526,1.047986790,1.024014210
1.015984349,1.023984589,1.047986789,1.096015209
1.015984350,1.019984526,1.043986732,1.100015265
1.019984415,1.019984526,1.051986846,1.096015210
1.015984352,1.019984526,1.043986733,1.100015265
1.011984288,1.019984527,1.047986789,1.100015265
1.011984290,1.019984528,1.043986733,1.104015320
1.015984351,1.023984590,1.051986845,1.096015209
1.011984290,1.019984528,1.007986234,2.903984790
1.015984353,1.019984528,1.084015043,1.100015265
1.015984354,1.019984529,1.080014988,1.096015210
1.015984354,1.023984592,1.084015043,1.096015209
1.015984355,1.015984467,1.076014931,1.096015210
1.011984291,1.023984591,1.076014932,1.092015155
1.015984356,1.019984532,1.076014933,1.092015153
1.011984292,1.019984529,1.076014931,1.100015265
1.015984357,1.023984594,1.076014932,1.096015211
1.015984356,1.019984532,1.076014933,1.100015264
1.011984294,1.019984531,1.072014877,2.899984735
1.011984294,1.019984531,1.076014931,1.100015265
1.015984358,1.023984597,2.919985012,1.100015267
1.015984358,1.015984468,1.072014877,1.100015265
1.015984360,1.023984596,1.080014987,1.100015265
1.015984358,1.023984596,1.080014989,1.092015154
1.011984296,1.023984597,1.080014987,1.100015265
1.011984296,1.019984534,1.076014933,1.096015210
1.011984298,1.019984534,1.080014987,1.100015266
1.011984298,1.019984535,1.080014987,1.096015210
1.011984296,1.019984535,1.072014877,2.903984790
1.015984362,1.023984598,1.080014989,1.096015209
1.019984426,1.023984600,1.080014987,1.100015267
1.015984362,1.019984536,1.076014932,1.096015209
1.019984426,1.019984536,1.072014877,1.096015210
1.015984363,1.023984600,2.923985067,1.100015266
1.019984428,1.019984537,1.076014933,1.096015211
1.015984365,1.023984601,1.076014931,1.096015209
1.011984300,1.023984601,1.072014877,1.100015265
1.011984301,1.019984537,1.012014045,1.088015099
1.011984303,0.980015461,1.012014044,1.100015266
1.015984364,1.019984539,1.080014988,2.907984845
1.011984303,1.023984602,1.076014933,1.100015266
1.011984303,1.019984539,1.076014932,1.100015266
1.015984367,1.015984476,1.072014877,1.100015266
0.988015696,1.023984604,1.076014933,1.096015210
1.015984368,1.023984603,1.076014932,1.100015266
1.015984367,1.023984605,1.076014933,1.100015265
1.015984369,1.015984479,1.080014988,1.100015266
1.015984369,1.019984540,1.084015044,1.100015266
1.015984369,1.019984543,2.923985067,1.100015266
1.011984306,1.019984541,1.076014932,2.899984734
1.015984370,1.019984543,1.080014989,1.096015210
1.015984372,1.019984544,1.080014988,1.096015211
1.015984370,1.015984480,1.080014988,1.096015210
1.011984308,1.015984480,1.080014988,1.096015210
1.015984373,1.019984544,1.076014934,1.100015266
1.015984371,1.015984481,1.080014988,1.100015268
1.007984245,1.019984546,1.076014933,1.096015209
1.011984309,1.015984481,1.072014877,1.100015266
1.015984374,1.019984545,1.076014933,1.096015212
1.015984374,1.019984547,1.076014934,2.895984679
1.015984374,1.019984546,1.076014932,1.096015210
1.015984375,1.019984545,2.923985066,1.092015156
1.019984439,1.019984547,1.080014988,1.100015266
1.011984310,1.019984548,1.076014932,1.100015266
1.015984377,1.015984485,1.080014990,1.100015266
1.015984376,1.019984547,1.076014932,1.100015266
1.011984313,1.019984548,1.076014934,1.100015267
1.015984377,1.023984612,1.076014932,1.096015210
1.019984442,1.015984485,1.080014989,1.096015211
1.019984439,1.019984550,1.076014933,2.899984734
1.015984379,1.015984486,1.080014989,1.100015267
1.019984443,1.019984550,1.080014988,1.100015266
1.015984378,1.015984487,1.076014934,1.100015267
1.015984379,1.019984550,1.076014933,1.100015267
1.015984380,1.023984615,2.919985012,1.104015321
1.015984380,1.019984551,1.076014934,1.100015267
1.011984317,1.019984551,1.012014046,1.100015266
1.015984382,1.019984553,1.043986733,1.096015211
1.011984317,1.019984551,1.043986731,1.096015211
1.015984382,1.019984554,1.043986733,2.899984733
1.015984382,1.019984553,0.956013269,1.104015322
1.015984382,1.019984552,1.047986789,1.096015211
1.011984320,1.023984618,1.043986732,1.100015267
1.015984383,1.023984617,1.043986732,1.096015211
1.011984320,1.019984553,1.047986787,1.096015211
1.015984384,1.023984619,1.043986732,1.100015267
1.015984385,1.019984554,1.043986733,1.096015211
1.015984385,1.019984556,1.043986731,1.096015211
1.019984449,0.976015381,1.043986732,1.096015212
1.015984386,1.019984555,1.047986787,1.100015267
1.015984385,1.019984558,1.043986733,2.899984733
1.011984323,1.019984556,1.047986787,1.092015155
1.019984450,1.019984557,1.047986787,1.096015211
1.011984324,1.023984619,1.047986788,1.096015212
1.015984388,1.019984559,1.047986787,1.096015211
1.015984388,1.023984621,1.047986787,1.096015211
1.015984389,1.027984684,1.043986732,1.096015212
1.015984388,1.019984559,1.047986787,1.100015267
1.015984390,1.019984559,1.047986788,1.096015211
1.015984389,1.015984496,1.043986731,1.096015212
1.011984326,1.019984560,1.051986843,2.899984733
